"time","obs"
1,1
2,2
3,2
4,3
5,3
6,4
7,4
8,5
9,6
10,7
11,8
12,10
13,11
14,13
15,16
16,18
17,22
18,25
19,30
20,35
21,41
22,48
23,56
24,66
25,68
26,56
27,49
28,43
29,39
30,35
31,32
32,29
33,26
34,23
35,21
36,19
37,17
38,15
39,14
40,12
41,11
42,10
43,9
44,8
45,7
46,7
47,6
48,5
49,5
50,4
51,4
52,4
53,3
54,3
55,3
56,2
57,2
58,2
59,2
60,2
61,1
62,1
63,1
64,1
