"time","obs"
1,0
2,0
3,1
4,2
5,1
6,3
7,6
8,4
9,6
10,7
11,11
12,10
13,7
14,10
15,15
16,17
17,17
18,23
19,27
20,34
21,34
22,32
23,35
24,42
25,32
26,39
27,34
28,48
29,58
30,52
31,53
32,48
33,60
34,52
35,45
36,46
37,42
38,46
39,34
40,32
41,27
42,20
43,18
44,15
45,22
46,13
47,10
48,6
49,5
50,2
51,2
52,1
53,1
54,1
55,2
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
