n_particles,mean_ll,sd_ll,prop_depleted,time_per_iter
4,-444.8114108545206,1495.485565899412,1.0,0.0012455296516418457
8,-504.99467288366736,1666.79494840316,0.48,0.0015117192268371581
16,-196.31259935915088,761.4580987925008,0.05,0.003910100460052491
32,-118.79331942353532,2.001010157589693,0.03,0.013722600936889649
64,-118.27351653069661,1.210267772488245,0.0,0.018469979763031007
128,-118.48837897179902,0.9341227051196213,0.0,0.032069380283355715
256,-118.35224331323039,0.8477439032736057,0.0,0.0473039984703064
512,-118.54878256395324,0.5965379639074033,0.0,0.09666170120239258
1024,-118.62252384073268,0.40270730489472395,0.0,0.17982884883880615
